StockCode,Description,Product_group
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Candles
71053,WHITE METAL LANTERN,Home Decor
84406B,CREAM CUPID HEARTS COAT HANGER,Bath & Beauty
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Kitchen & Dining
84029E,RED WOOLLY HOTTIE WHITE HEART.,Bath & Beauty
22752,SET 7 BABUSHKA NESTING BOXES,Home Decor
21730,GLASS STAR FROSTED T-LIGHT HOLDER,Candles
22633,HAND WARMER UNION JACK,Gifts
22632,HAND WARMER RED POLKA DOT,Gifts
84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor
22745,POPPY'S PLAYHOUSE BEDROOM ,Toys & Kids
22748,POPPY'S PLAYHOUSE KITCHEN,Toys & Kids
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,Toys & Kids
22310,IVORY KNITTED MUG COSY ,Kitchen & Dining
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,Storage & Organization
22623,BOX OF VINTAGE JIGSAW BLOCKS ,Storage & Organization
22622,BOX OF VINTAGE ALPHABET BLOCKS,Storage & Organization
21754,HOME BUILDING BLOCK WORD,Home Decor
21755,LOVE BUILDING BLOCK WORD,Home Decor
21777,RECIPE BOX WITH METAL HEART,Storage & Organization
48187,DOORMAT NEW ENGLAND,Home Decor
22960,JAM MAKING SET WITH JARS,Kitchen & Dining
22913,RED COAT RACK PARIS FASHION,Home Decor
22912,YELLOW COAT RACK PARIS FASHION,Home Decor
22914,BLUE COAT RACK PARIS FASHION,Home Decor
21756,BATH BUILDING BLOCK WORD,Bath & Beauty
22728,ALARM CLOCK BAKELIKE PINK,Home Decor
22727,ALARM CLOCK BAKELIKE RED ,Home Decor
22726,ALARM CLOCK BAKELIKE GREEN,Home Decor
21724,PANDA AND BUNNIES STICKER SHEET,Stationery & Craft
21883,STARS GIFT TAPE ,Stationery & Craft
10002,INFLATABLE POLITICAL GLOBE ,Toys & Kids
21791,VINTAGE HEADS AND TAILS CARD GAME ,Stationery & Craft
21035,SET/2 RED RETROSPOT TEA TOWELS ,Kitchen & Dining
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,Kitchen & Dining
22629,SPACEBOY LUNCH BOX ,Storage & Organization
22659,LUNCH BOX I LOVE LONDON,Storage & Organization
22631,CIRCUS PARADE LUNCH BOX ,Storage & Organization
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,Fashion & Accessories
21731,RED TOADSTOOL LED NIGHT LIGHT,Lighting & Electrical
22900, SET 2 TEA TOWELS I LOVE LONDON ,Kitchen & Dining
21913,VINTAGE SEASIDE JIGSAW PUZZLES,Toys & Kids
22540,MINI JIGSAW CIRCUS PARADE ,Toys & Kids
22544,MINI JIGSAW SPACEBOY,Toys & Kids
22492,MINI PAINT SET VINTAGE ,Toys & Kids
POST,POSTAGE,Other
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Seasonal & Party
20679,EDWARDIAN PARASOL RED,Outdoor
37370,RETRO COFFEE MUGS ASSORTED,Kitchen & Dining
21871,SAVE THE PLANET MUG,Kitchen & Dining
21071,VINTAGE BILLBOARD DRINK ME MUG,Kitchen & Dining
21068,VINTAGE BILLBOARD LOVE/HATE MUG,Kitchen & Dining
82483,WOOD 2 DRAWER CABINET WHITE FINISH,Storage & Organization
